subject,open,lineno,NOC,NOL,experience-based,statistics-based,tuning machine
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/setup.py,19,19,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/activations/activations_test.py,26,15,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/activations/activations_test.py,39,25,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/activations/activations_test.py,39,12,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/metrics/confusion_metrics.py,348,39,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/metrics/confusion_metrics.py,397,42,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/metrics/confusion_metrics.py,492,39,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/metrics/confusion_metrics.py,541,42,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/metrics/confusion_metrics.py,1374,42,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/metrics/metrics_utils.py,29,47,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/metrics/metrics_utils.py,676,56,1,1,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/input_spec.py,61,54,1,1,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/input_spec.py,83,35,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/input_spec.py,93,40,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/input_spec.py,94,40,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/input_spec.py,95,37,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/input_spec.py,96,49,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/input_spec.py,97,49,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/input_spec.py,98,37,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/attention/grouped_query_attention.py,132,39,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/attention/grouped_query_attention.py,137,25,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/attention/grouped_query_attention.py,146,25,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/attention/grouped_query_attention.py,155,25,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/attention/grouped_query_attention.py,172,24,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/attention/grouped_query_attention.py,305,37,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/attention/grouped_query_attention.py,310,37,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/attention/grouped_query_attention.py,314,37,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/attention/grouped_query_attention.py,318,72,3,1,1,1
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/attention/grouped_query_attention.py,347,46,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/attention/attention.py,174,46,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/attention/attention.py,219,27,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/attention/attention.py,220,19,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/attention/attention.py,221,19,1,0,0,0
