subject,open,lineno,NOC,PAR,NOO,experience-based,statistics-based,tuning machine
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/metrics/accuracy_metrics_test.py,121,52,0,5,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/metrics/accuracy_metrics_test.py,126,51,0,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/metrics/metric.py,94,36,1,5,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/metrics/metric.py,97,26,1,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/losses/loss.py,37,47,1,6,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/losses/loss.py,40,47,1,6,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/layer.py,309,50,1,8,1,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/layer.py,313,55,1,9,1,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/layer.py,317,26,1,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/layer.py,319,53,1,10,1,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/layer.py,324,48,1,6,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/layer.py,793,35,1,5,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/layer.py,803,35,1,5,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/layer.py,1027,45,1,5,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/layer.py,1245,28,1,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/layer.py,1470,40,1,5,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/core/lambda_layer.py,91,53,1,6,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/core/lambda_layer.py,95,13,1,2,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/core/lambda_layer_test.py,75,10,1,3,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/core/lambda_layer_test.py,86,10,1,3,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/core/lambda_layer_test.py,86,7,1,1,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/preprocessing/index_lookup.py,299,19,0,2,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/preprocessing/index_lookup.py,607,21,1,6,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/preprocessing/tf_data_layer.py,30,64,1,7,1,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/preprocessing/feature_space_test.py,395,17,2,5,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/preprocessing/feature_space_test.py,402,17,2,5,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/preprocessing/feature_space.py,516,13,1,3,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/preprocessing/feature_space.py,530,26,1,6,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/preprocessing/feature_space.py,725,28,1,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/preprocessing/feature_space.py,730,28,1,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/preprocessing/feature_space.py,751,48,1,6,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/preprocessing/hashed_crossing_test.py,75,24,2,5,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/merging/merging_test.py,50,36,2,9,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/merging/merging_test.py,55,47,2,7,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/rnn/rnn.py,290,92,1,8,1,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/rnn/rnn.py,387,64,1,7,1,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/layers/rnn/rnn.py,406,42,1,6,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/swap_ema_weights.py,67,23,2,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/swap_ema_weights.py,72,21,2,6,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/swap_ema_weights.py,77,21,2,6,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/swap_ema_weights.py,101,19,2,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/lambda_callback_test.py,27,42,1,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/lambda_callback_test.py,28,48,2,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/lambda_callback_test.py,31,46,2,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/lambda_callback_test.py,32,40,1,4,0,0,0
keras-master,/Users/kaziknobo/Desktop/CSE 400 Thesis/Primary Dataset/keras-master/keras/callbacks/lambda_callback_test.py,62,54,2,4,0,0,0
